"code","name","name_eng","base_year","C행정구역별_읍면동","행정구역별_읍면동","시점","총인구_명","남자_명","여자_명","내국인_계_명","내국인_남자_명","내국인_여자_명","외국인_계_명","외국인_남자_명","외국인_여자_명","가구_계_가구","일반가구_가구","집단가구_가구","외국인가구_가구","주택_계_호","단독주택_호","아파트_호","연립주택_호","다세대주택_호","비거주용_건물내_주택_호","주택이외의_거처_호"
"36470","진도군","Jindo-gun","2010","36470"," 진도군",2010,28565,13337,15228,28414,13302,15112,151,35,116,13126,13098,11,17,14280,13082,625,364,32,177,50
"36460","완도군","Wando-gun","2010","36460"," 완도군",2010,46777,22454,24323,46476,22306,24170,301,148,153,20913,20856,17,40,21454,18909,1371,539,204,431,143
"36450","장성군","Jangseong-gun","2010","36450"," 장성군",2010,38507,18862,19645,37899,18448,19451,608,414,194,15219,15071,47,101,17253,13052,3658,277,17,249,118
"36440","영광군","Yeonggwang-gun","2010","36440"," 영광군",2010,48663,23257,25406,48432,23178,25254,231,79,152,20287,20210,30,47,22105,16408,4697,620,70,310,177
"36430","함평군","Hampyeong-gun","2010","36430"," 함평군",2010,30995,14498,16497,30770,14397,16373,225,101,124,13408,13351,21,36,14440,13479,570,175,27,189,91
"36420","무안군","Muan-gun","2010","36420"," 무안군",2010,68462,33340,35122,67697,32959,34738,765,381,384,25905,25780,47,78,26468,17329,8268,472,195,204,249
"36410","영암군","Yeongam-gun","2010","36410"," 영암군",2010,58748,30607,28141,55665,28432,27233,3083,2175,908,24238,23161,67,1010,24873,15860,6865,882,1069,197,190
"36400","해남군","Haenam-gun","2010","36400"," 해남군",2010,66042,31344,34698,65685,31238,34447,357,106,251,28520,28460,33,27,29712,25391,3557,346,80,338,217
"36390","강진군","Gangjin-gun","2010","36390"," 강진군",2010,34204,15897,18307,34029,15839,18190,175,58,117,15035,14985,22,28,15627,13641,1118,458,150,260,88
"36380","장흥군","Jangheung-gun","2010","36380"," 장흥군",2010,35763,16658,19105,35590,16605,18985,173,53,120,16046,15997,17,32,16895,14619,1424,568,62,222,99
"36370","화순군","Hwasun-gun","2010","36370"," 화순군",2010,62219,29465,32754,61825,29331,32494,394,134,260,24955,24862,26,67,27447,16194,10898,158,36,161,111
"36360","보성군","Boseong-gun","2010","36360"," 보성군",2010,40166,18374,21792,39963,18332,21631,203,42,161,18430,18382,18,30,20091,17802,1768,246,55,220,80
"36350","고흥군","Goheung-gun","2010","36350"," 고흥군",2010,63392,29075,34317,63179,29021,34158,213,54,159,29896,29852,26,18,32225,28295,1849,1620,147,314,141
"36330","구례군","Gurye-gun","2010","36330"," 구례군",2010,22419,10420,11999,22291,10398,11893,128,22,106,9776,9753,10,13,10514,9231,769,313,52,149,91
"36320","곡성군","Gokseong-gun","2010","36320"," 곡성군",2010,27272,12569,14703,26975,12401,14574,297,168,129,11754,11704,23,27,12583,11338,953,141,17,134,84
"36310","담양군","Damyang-gun","2010","36310"," 담양군",2010,41027,19602,21425,40726,19455,21271,301,147,154,15570,15487,41,42,16514,15187,1023,54,93,157,113
"36060","광양시","Gwangyang-si","2010","36060"," 광양시",2010,137810,70957,66853,137100,70611,66489,710,346,364,49610,49388,49,173,50621,13989,34037,1498,467,630,107
"36040","나주시","Naju-si","2010","36040"," 나주시",2010,78679,37379,41300,77825,37000,40825,854,379,475,31976,31795,66,115,34628,25156,8596,411,155,310,179
"36030","순천시","Suncheon-si","2010","36030"," 순천시",2010,258670,127989,130681,257800,127699,130101,870,290,580,92382,92131,85,166,87708,31527,54176,786,261,958,252
"36020","여수시","Yeosu-si","2010","36020"," 여수시",2010,269937,135185,134752,268727,134498,134229,1210,687,523,99585,99271,68,246,96682,38314,54775,1187,760,1646,363
"36010","목포시","Mokpo-si","2010","36010"," 목포시",2010,249960,125019,124941,248694,124387,124307,1266,632,634,92189,91723,78,388,80757,22751,53294,1456,1660,1596,2368
"35380","부안군","Buan-gun","2010","35380"," 부안군",2010,50814,23927,26887,50577,23849,26728,237,78,159,21650,21600,18,32,23041,18628,3730,309,76,298,91
"35370","고창군","Gochang-gun","2010","35370"," 고창군",2010,53333,25156,28177,53052,25061,27991,281,95,186,22871,22782,36,53,24161,19997,3160,607,135,262,133
"35360","순창군","Sunchang-gun","2010","35360"," 순창군",2010,25241,11589,13652,25063,11565,13498,178,24,154,10913,10891,12,10,11886,10480,1065,39,106,196,83
"35350","임실군","Imsil-gun","2010","35350"," 임실군",2010,23663,11066,12597,23490,11012,12478,173,54,119,10720,10693,12,15,12338,10807,1195,144,35,157,101
"35340","장수군","Jangsu-gun","2010","35340"," 장수군",2010,19424,9197,10227,19293,9170,10123,131,27,104,8321,8300,12,9,8945,7961,417,439,49,79,53
"35330","무주군","Muju-gun","2010","35330"," 무주군",2010,21827,10473,11354,21752,10459,11293,75,14,61,9491,9476,9,6,10110,8580,1040,221,106,163,111
"35320","진안군","Jinan-gun","2010","35320"," 진안군",2010,20446,9736,10710,20318,9719,10599,128,17,111,9177,9153,12,12,10146,8827,927,322,0,70,59
"35310","완주군","Wanju-gun","2010","35310"," 완주군",2010,83408,42339,41069,82041,41606,40435,1367,733,634,29931,29493,88,350,29928,18534,10825,236,75,258,244
"35060","김제시","Gimje-si","2010","35060"," 김제시",2010,83302,39989,43313,82739,39647,43092,563,342,221,33450,33295,59,96,35804,25774,9055,571,102,302,178
"35050","남원시","Namwon-si","2010","35050"," 남원시",2010,78770,37603,41167,78425,37473,40952,345,130,215,31444,31329,45,70,31285,21031,9432,263,81,478,222
"35040","정읍시","Jeongeup-si","2010","35040"," 정읍시",2010,110352,53020,57332,109458,52472,56986,894,548,346,43950,43716,80,154,45550,27770,16539,724,78,439,311
"35030","익산시","Iksan-si","2010","35030"," 익산시",2010,296366,146891,149475,294479,146026,148453,1887,865,1022,110048,109391,130,527,104728,38186,61914,2684,829,1115,465
"35020","군산시","Gunsan-si","2010","35020"," 군산시",2010,260546,132090,128456,258845,131212,127633,1701,878,823,95649,94944,98,607,94945,29721,60372,3706,355,791,294
"35012","덕진구","Deokjin-gu","2010","35012"," 덕진구",2010,287851,142762,145089,286017,142033,143984,1834,729,1105,100385,99757,110,518,84434,21462,59117,2457,482,916,271
"35011","완산구","Wansan-gu","2010","35011"," 완산구",2010,361877,176886,184991,360495,176326,184169,1382,560,822,125695,125126,94,475,106176,21846,81681,1441,329,879,234
"34390","당진군","Dangjin-gun","2010","34390"," 당진군",2010,137006,72277,64729,135106,70972,64134,1900,1305,595,52950,52151,94,705,51916,24406,22922,3066,975,547,359
"34380","태안군","Taean-gun","2010","34380"," 태안군",2010,53888,26548,27340,53673,26437,27236,215,111,104,22044,21956,22,66,22966,16091,4758,1262,316,539,233
"34370","예산군","Yesan-gun","2010","34370"," 예산군",2010,77830,38140,39690,77209,37773,39436,621,367,254,30533,30317,44,172,32218,20951,8748,1711,442,366,217
"34360","홍성군","Hongseong-gun","2010","34360"," 홍성군",2010,82811,40691,42120,81876,40149,41727,935,542,393,32672,32298,35,339,30400,19885,8207,763,1119,426,262
"34350","청양군","Cheongyang-gun","2010","34350"," 청양군",2010,29755,14327,15428,29506,14214,15292,249,113,136,12463,12414,15,34,13325,11176,1467,248,299,135,109
"34340","서천군","Seocheon-gun","2010","34340"," 서천군",2010,53914,25716,28198,53620,25580,28040,294,136,158,22795,22704,26,65,25095,19543,3274,1483,387,408,150
